epoch,accuracy,loss,val_accuracy,val_loss
0,0.7580000162124634,0.8164393305778503,0.8450000286102295,0.3327192962169647
1,0.8429999947547913,0.37776827812194824,0.8687499761581421,0.32315531373023987
2,0.859000027179718,0.34478265047073364,0.8662499785423279,0.2956590950489044
3,0.8870000243186951,0.24667233228683472,0.8999999761581421,0.2989892363548279
4,0.9229999780654907,0.20672528445720673,0.8999999761581421,0.28343555331230164
5,0.9319999814033508,0.20138800144195557,0.8837500214576721,0.3303215503692627
6,0.9449999928474426,0.14353126287460327,0.90625,0.3081674873828888
7,0.9549999833106995,0.12614913284778595,0.9012500047683716,0.3575368821620941
8,0.9549999833106995,0.11272422224283218,0.8637499809265137,0.47858262062072754
9,0.9620000123977661,0.11357056349515915,0.8962500095367432,0.3744722306728363
